,Kasus harian,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,"Sembuh
(baru)",Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),"Meninggal
(baru)","Meninggal
Dunia",Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),PDP,ODP,Suspek aktif,Jumlah spesimen diperiksa (dari 1 April),Jumlah orang diperiksa,Negatif,"Positif 
(=C)",Dalam Proses,Spesimen,Orang yang dites,Vaksinasi (ineligible),Jumlah test/juta penduduk,Test/Positif,Jumlah org yg dites / positif,Jumlah Test/Positif harian,Positif / Jumlah Tes,Positive rate harian,Case Growth Rate,Tingkat positivitas mingguan,Jumlah spesimen diperiksa (rata-rata 7 hari),Jumlah orang diperiksa (rata-rata 7 hari),Rasio spesimen/orang diperiksa (rata-rata 7 hari),,Dosis pertama,Dosis kedua,Dosis pertama (harian),Dosis kedua (harian),Dosis pertama (mingguan),Dosis kedua (mingguan),Test PCR Orang Nasional Rata-rata 7 hari,Pos Rate Nasional - rata-rata 7 hari,Test Orang DKI,Positif DKI,,Pos Rate DKI,Pos Rate DKI - 7 harian,NON DKI,Positif Non DKI,,Pos Rate Non DKI,Pos Rate Non DKI - 7 harian
20-Oct,"3,602",,,"368,842","62,455",16.93%,"4,410","293,653",79.61%,95.84%,117,"12,734",3.45%,4.16%,,,"160,740","4,123,624","2,583,085","2,214,243",,,"31,029","29,564",,"9,567",11.18,7.00,8.21,14.28%,12.18%,0.99%,13.80%,"38,730","29,218",1.33,22179,,,,,,,,,,,,,,,,,,
21-Oct,"4,267",,,"373,109","62,743",16.82%,"3,856","297,509",79.74%,95.86%,123,"12,857",3.45%,4.14%,,,"162,216","4,167,210","2,613,682","2,240,573",,,"43,586","30,597",,"9,680",11.17,7.01,7.17,14.28%,13.95%,1.16%,14.32%,"39,187","28,297",1.38,23226,,,,,,,,,,,,,,,,,,
22-Oct,"4,432",,,"377,541","63,576",16.84%,"3,497","301,006",79.73%,95.87%,102,"12,959",3.43%,4.13%,,,"164,346","4,211,138","2,647,094","2,269,553",,,"43,928","33,412",,"9,804",11.15,7.01,7.54,14.26%,13.26%,1.19%,14.38%,"39,432","28,196",1.40,23632,,,,,,,,,,,,,,,,,,
23-Oct,"4,369",,,"381,910","63,733",16.69%,"4,094","305,100",79.89%,95.89%,118,"13,077",3.42%,4.11%,,,"161,763","4,253,425","2,679,774","2,297,864",,,"42,287","32,680",,"9,925",11.14,7.02,7.48,14.25%,13.37%,1.16%,14.24%,"39,539","28,550",1.38,23027,,,,,,,,,,,,,,,,,,
24-Oct,"4,070",,,"385,980","63,556",16.47%,"4,119","309,219",80.11%,95.90%,128,"13,205",3.42%,4.10%,,,"166,380","4,293,347","2,711,239","2,325,259",,,"39,922","31,465",,"10,042",11.12,7.02,7.73,14.24%,12.94%,1.07%,13.74%,"39,056","29,334",1.33,22864,,,,,,,,,,,,,,,,,,
25-Oct,"3,732",,,"389,712","62,649",16.08%,"4,545","313,764",80.51%,95.93%,94,"13,299",3.41%,4.07%,,,"168,918","4,327,144","2,730,231","2,340,519",,,"33,797","18,992",,"10,112",11.10,7.01,5.09,14.27%,19.65%,0.97%,13.79%,"38,687","28,845",1.34,23295,,,,,,,,,,,,,,,,,,
26-Oct,"3,222",,,"392,934","61,851",15.74%,"3,908","317,672",80.85%,95.95%,112,"13,411",3.41%,4.05%,,,"170,163","4,351,557","2,749,269","2,356,335",,,"24,413","19,038",,"10,182",11.07,7.00,5.91,14.29%,16.92%,0.83%,14.15%,"36,995","27,964",1.32,24074,,,,,,,,,,,,,,,,,,
27-Oct,"3,520",,,"396,454","60,694",15.31%,"4,576","322,248",81.28%,95.98%,101,"13,512",3.41%,4.02%,,,"169,479","4,388,995","2,777,969","2,381,515",,,"37,438","28,700",,"10,289",11.07,7.01,8.15,14.27%,12.26%,0.90%,14.17%,"37,910","27,841",1.36,,,,,,,,,,,,,,,,,,,
28-Oct,"4,029",,,"400,483","61,078",15.25%,"3,545","325,793",81.35%,95.99%,100,"13,612",3.40%,4.01%,,,"169,833","4,429,567","2,805,313","2,404,830",,,"40,572","27,344",,"10,390",11.06,7.00,6.79,14.28%,14.73%,1.02%,14.28%,"37,480","27,376",1.37,,,,,,,,,,,,,,,,,,,
29-Oct,"3,565",,,"404,048","60,569",14.99%,"3,985","329,778",81.62%,96.01%,89,"13,701",3.39%,3.99%,,,"68,888","4,463,884","2,830,706","2,426,658",,,"34,317","25,393",,"10,484",11.05,7.01,7.12,14.27%,14.04%,0.89%,14.44%,"36,107","26,230",1.38,,,,,,,,,,,,,,,,,,,
30-Oct,"2,897",,,"406,945","58,868",14.47%,"4,517","334,295",82.15%,96.04%,81,"13,782",3.39%,3.96%,,,"68,292","4,488,738","2,853,984","2,447,039",,,"24,854","23,278",,"10,570",11.03,7.01,8.04,14.26%,12.45%,0.72%,14.37%,"33,616","24,887",1.35,,,,,,,,,,,,,,,,,,,
31-Oct,"3,143",,,"410,088","58,418",14.25%,"3,506","337,801",82.37%,96.06%,87,"13,869",3.38%,3.94%,,,"67,900","4,517,739","2,881,443","2,471,355",,,"29,001","27,459",,"10,672",11.02,7.03,8.74,14.23%,11.45%,0.77%,14.16%,"32,056","24,315",1.32,,,,,,,,,,,,,,,,,,,
1-Nov,"2,696",,,"412,784","56,899",13.78%,"4,141","341,942",82.84%,96.08%,74,"13,943",3.38%,3.92%,,,"61,215","4,540,947","2,899,414","2,486,630",,,"23,208","17,971",,"10,739",11.00,7.02,6.67,14.24%,15.00%,0.66%,13.64%,"30,543","24,169",1.26,,,,,,,,,,,,,,,,,,,
2-Nov,"2,618",,,"415,402","55,792",13.43%,"3,624","345,566",83.19%,96.09%,101,"14,044",3.38%,3.91%,,,"59,500","4,567,608","2,919,560","2,504,158",,,"26,661","20,146",,"10,813",11.00,7.03,7.70,14.23%,13.00%,0.63%,13.19%,"30,864","24,327",1.27,,,,,,,,,,,,,,,,,,,
3-Nov,"2,973",,,"418,375","54,732",13.08%,"3,931","349,497",83.54%,96.11%,102,"14,146",3.38%,3.89%,,,"56,039","4,597,536","2,941,778","2,523,403",,,"29,928","22,218",,"10,895",10.99,7.03,7.47,14.22%,13.38%,0.72%,13.38%,"29,792","23,401",1.27,,,,,,,,,,,,,,,,,,,
4-Nov,"3,356",,,"421,731","54,190",12.85%,"3,785","353,282",83.77%,96.12%,113,"14,259",3.38%,3.88%,,,"56,967","4,638,515","2,969,883","2,548,152",,,"40,979","28,105",,"11,000",11.00,7.04,8.37,14.20%,11.94%,0.80%,12.91%,"29,850","23,510",1.27,,,,,,,,,,,,,,,,,,,
5-Nov,"4,065",,,"425,796","54,306",12.75%,"3,860","357,142",83.88%,96.14%,89,"14,348",3.37%,3.86%,,,"55,943","4,678,096","3,001,189","2,575,393",,,"39,581","31,306",,"11,116",10.99,7.05,7.70,14.19%,12.98%,0.96%,12.76%,"30,602","24,355",1.26,,,,,,,,,,,,,,,,,,,
6-Nov,"3,778",,,"429,574","54,427",12.67%,"3,563","360,705",83.97%,96.15%,94,"14,442",3.36%,3.85%,,,"56,663","4,716,187","3,030,661","2,601,087",,,"38,091","29,472",,"11,225",10.98,7.06,7.80,14.17%,12.82%,0.89%,12.81%,"32,493","25,240",1.29,,,,,,,,,,,,,,,,,,,
7-Nov,"4,262",,,"433,836","54,879",12.65%,"3,712","364,417",84.00%,96.16%,98,"14,540",3.35%,3.84%,,,"56,461","4,754,436","3,059,777","2,625,941",,,"38,249","29,116",,"11,333",10.96,7.05,6.83,14.18%,14.64%,0.99%,13.32%,"33,814","25,476",1.33,,,,,,,,,,,,,,,,,,,
8-Nov,"3,880",,,"437,716","54,804",12.52%,"3,881","368,298",84.14%,96.18%,74,"14,614",3.34%,3.82%,,,"57,043","4,790,024","3,080,718","2,643,002",,,"35,588","20,941",,"11,410",10.94,7.04,5.40,14.21%,18.53%,0.89%,13.75%,"35,582","25,901",1.37,,,,,,,,,,,,,,,,,,,
9-Nov,"2,853",,,"440,569","53,614",12.17%,"3,968","372,266",84.50%,96.20%,75,"14,689",3.33%,3.80%,,,"57,925","4,824,389","3,105,465","2,664,896",,,"34,365","24,747",,"11,502",10.95,7.05,8.67,14.19%,11.53%,0.65%,13.54%,"36,683","26,558",1.38,,,,,,,,,,,,,,,,,,,
10-Nov,"3,779",,,"444,348","53,846",12.12%,"3,475","375,741",84.56%,96.22%,72,"14,761",3.32%,3.78%,,,"55,560","4,857,452","3,137,485","2,693,137",,,"33,063","32,020",,"11,620",10.93,7.06,8.47,14.16%,11.80%,0.86%,13.27%,"37,131","27,958",1.33,,,,,,,,,,,,,,,,,,,
11-Nov,"3,770",,,"448,118","54,300",12.12%,"3,241","378,982",84.57%,96.23%,75,"14,836",3.31%,3.77%,,,"55,982","4,896,793","3,175,096","2,726,978",,,"39,341","37,611",,"11,760",10.93,7.09,9.98,14.11%,10.02%,0.85%,12.86%,"36,897","29,316",1.26,,,,,,,,,,,,,,,,,,,
12-Nov,"4,173",,,"452,291","55,274",12.22%,"3,102","382,084",84.48%,96.24%,97,"14,933",3.30%,3.76%,,,"56,868","4,938,958","3,211,592","2,759,301",,,"42,165","36,496",,"11,895",10.92,7.10,8.75,14.08%,11.43%,0.93%,12.59%,"37,266","30,058",1.24,,,,,,,,,,,,,,,,,,,
13-Nov,"5,444",,,"457,735","57,604",12.58%,"3,010","385,094",84.13%,96.24%,104,"15,037",3.29%,3.76%,,,"58,896","4,981,291","3,249,484","2,791,749",,,"42,333","37,892",,"12,035",10.88,7.10,6.96,14.09%,14.37%,1.20%,12.87%,"37,872","31,260",1.21,,,,,,,,,,,,,,,,,,,
14-Nov,"5,272",,,"463,007","59,765",12.91%,"3,000","388,094",83.82%,96.24%,111,"15,148",3.27%,3.76%,,,"61,975","5,022,627","3,288,194","2,825,187",,,"41,336","38,710",,"12,178",10.85,7.10,7.34,14.08%,13.62%,1.15%,12.77%,"38,313","32,631",1.17,,,,,,,,,,,,,,,,,,,
15-Nov,"4,106",,,"467,113","59,911",12.83%,"3,897","391,991",83.92%,96.26%,63,"15,211",3.26%,3.74%,,,"63,380","5,055,488","3,313,590","2,846,477",,,"32,861","25,396",,"12,273",10.82,7.09,6.19,14.10%,16.17%,0.89%,12.62%,"37,923","33,267",1.14,,,,,,,,,,,,,,,,,,,
16-Nov,"3,535",,,"470,648","59,909",12.73%,"3,452","395,443",84.02%,96.28%,85,"15,296",3.25%,3.72%,,,"63,683","5,090,127","3,341,160","2,870,512",,,"34,639","27,570",,"12,375",10.82,7.10,7.80,14.09%,12.82%,0.76%,12.76%,"37,963","33,671",1.13,,,,,,,,,,,,,,,,,,,
17-Nov,"3,807",,,"474,455","60,426",12.74%,"3,193","398,636",84.02%,96.28%,97,"15,393",3.24%,3.72%,,,"64,928","5,129,899","3,377,716","2,903,261",,,"39,772","36,556",,"12,510",10.81,7.12,9.60,14.05%,10.41%,0.81%,12.53%,"38,921","34,319",1.13,,,,,,,,,,,,,,,,,,,
18-Nov,"4,265",,,"478,720","60,870",12.72%,"3,711","402,347",84.05%,96.29%,110,"15,503",3.24%,3.71%,,,"64,430","5,171,841","3,415,613","2,936,893",,,"41,942","37,897",,"12,650",10.80,7.13,8.89,14.02%,11.25%,0.90%,12.72%,"39,293","34,360",1.14,,,,,,,,,,,,,,,,,,,
19-Nov,"4,798",,,"483,518","61,306",12.68%,"4,265","406,612",84.09%,96.31%,97,"15,600",3.23%,3.69%,,,"63,546","5,219,471","3,456,835","2,973,317",,,"47,630","41,222",,"12,803",10.79,7.15,8.59,13.99%,11.64%,1.00%,12.73%,"40,073","35,035",1.14,,,,,,,,,,,,,,,,,,,
20 Nov,"4,792",,,"488,310","62,080",12.71%,"3,940","410,552",84.08%,96.32%,78,"15,678",3.21%,3.68%,,,"63,074","5,261,426","3,496,039","3,007,729",,,"41,955","39,204",,"12,948",10.77,7.16,8.18,13.97%,12.22%,0.99%,12.40%,"40,019","35,222",1.14,,,,,,,,,,,,,,,,,,,
21-Nov,"4,998",,,"493,308","63,579",12.89%,"3,403","413,955",83.91%,96.33%,96,"15,774",3.20%,3.67%,,,"64,317","5,304,548","3,526,607","3,033,299",,,"43,122","30,568",,"13,062",10.75,7.15,6.12,13.99%,16.35%,1.02%,12.71%,"40,274","34,059",1.18,,,,,,,,,,,,,,,,,,,
22-Nov,"4,360",,,"497,668","63,596",12.78%,"4,233","418,188",84.03%,96.34%,110,"15,884",3.19%,3.66%,,,"64,502","5,340,537","3,553,142","3,055,474",,,"35,989","26,535",,"13,160",10.73,7.14,6.09,14.01%,16.43%,0.88%,12.76%,"40,721","34,222",1.19,,,,,,,,,,,,,,,,,,,
23-Nov,"4,442",,,"502,110","63,722",12.69%,"4,198","422,386",84.12%,96.35%,118,"16,002",3.19%,3.65%,,,"65,279","5,380,620","3,580,476","3,078,366",,,"40,083","27,334",,"13,261",10.72,7.13,6.15,14.02%,16.25%,0.89%,13.15%,"41,499","34,188",1.21,,,,,,,,,,,,,,,,,,,
24-Nov,"4,192",,,"506,302","64,878",12.81%,"2,927","425,313",84.00%,96.35%,109,"16,111",3.18%,3.65%,,,"64,414","5,420,591","3,608,244","3,101,942",,,"39,971","27,768",,"13,364",10.71,7.13,6.62,14.03%,15.10%,0.83%,13.81%,"41,527","32,933",1.26,,,,,,,,,,,,,,,,,,,
25-Nov,"5,534",,,"511,836","65,804",12.86%,"4,494","429,807",83.97%,96.36%,114,"16,225",3.17%,3.64%,,,"65,438","5,465,921","3,651,964","3,140,128",,,"45,330","43,720",,"13,526",10.68,7.14,7.90,14.02%,12.66%,1.09%,14.01%,"42,011","33,764",1.24,,,,,,,,,,,,,,,,,,,
26-Nov,"4,917",,,"516,753","66,752",12.92%,"3,842","433,649",83.92%,96.37%,127,"16,352",3.16%,3.63%,,,"66,685","5,517,392","3,690,126","3,173,373",,,"51,471","38,162",,"13,667",10.68,7.14,7.76,14.00%,12.88%,0.96%,14.25%,"42,560","33,327",1.28,,,,,,,,,,,,,,,,,,,
27-Nov,"5,828",,,"522,581","68,604",13.13%,"3,807","437,456",83.71%,96.36%,169,"16,521",3.16%,3.64%,,,"67,836","5,566,215","3,729,561","3,206,980",,,"48,823","39,435",,"13,813",10.65,7.14,6.77,14.01%,14.78%,1.13%,14.68%,"43,541","33,360",1.31,,,,,,,,,,,,,,,,,,,
28-Nov,"5,418",,,"527,999","69,370",13.14%,"4,527","441,983",83.71%,96.37%,125,"16,646",3.15%,3.63%,,,"68,606","5,612,789","3,766,860","3,238,861",,,"46,574","37,299",,"13,951",10.63,7.13,6.88,14.02%,14.53%,1.04%,14.44%,"44,034","34,322",1.28,,,,,,,,,,,,,,,,,,,
29-Nov,"6,267",,,"534,266","71,658",13.41%,"3,810","445,793",83.44%,96.37%,169,"16,815",3.15%,3.63%,,,"70,792","5,655,692","3,797,881","3,263,615",,,"42,903","31,021",,"14,066",10.59,7.11,4.95,14.07%,20.20%,1.19%,14.95%,"45,022","34,963",1.29,,,,,,,,,,,,,,,,,,,
30-Nov,"4,617",,,"538,883","71,420",13.25%,"4,725","450,518",83.60%,96.38%,130,"16,945",3.14%,3.62%,,,"72,786","5,695,747","3,827,720","3,288,837",,,"40,055","29,839",,"14,177",10.57,7.10,6.46,14.08%,15.47%,0.86%,14.87%,"45,018","35,321",1.27,,,,,,,,,,,,,,,,,,,
1-Dec,"5,092",,,"543,975","72,015",13.24%,"4,361","454,879",83.62%,96.38%,136,"17,081",3.14%,3.62%,,,"71,286","5,746,979","3,865,412","3,321,437",,,"51,232","37,692",,"14,316",10.56,7.11,7.40,14.07%,13.51%,0.94%,14.65%,"46,627","36,738",1.27,,,,,,,,,,,,,,,,,,,
2-Dec,"5,533",,,"549,508","73,429",13.36%,"4,001","458,880",83.51%,96.39%,118,"17,199",3.13%,3.61%,,,"71,074","5,805,224","3,907,273","3,357,765",,,"58,245","41,861",,"14,471",10.56,7.11,7.57,14.06%,13.22%,1.02%,14.76%,"48,472","36,473",1.33,,,,,,,,,,,,,,,,,,,
3-Dec,"8,369",,,"557,877","77,969",13.98%,"3,673","462,553",82.91%,96.38%,156,"17,355",3.11%,3.62%,,,"69,027","5,867,621","3,952,752","3,394,875",,,"62,397","45,479",,"14,640",10.52,7.09,5.43,14.11%,18.40%,1.52%,15.66%,"50,033","37,518",1.33,,,,,,,,,,,,,,,,,,,
4-Dec,"5,803",,,"563,680","80,023",14.20%,"3,625","466,178",82.70%,96.39%,124,"17,479",3.10%,3.61%,,,"69,016","5,926,986","3,992,487","3,428,807",,,"59,365","39,735",,"14,787",10.51,7.08,6.85,14.12%,14.60%,1.04%,15.63%,"51,539","37,561",1.37,,,,,,,,,,,,,,,,,,,
5-Dec,"6,027",,,"569,707","81,669",14.34%,"4,271","470,449",82.58%,96.40%,110,"17,589",3.09%,3.60%,,,"69,926","5,981,908","4,029,428","3,459,721",,,"54,922","36,941",,"14,924",10.50,7.07,6.13,14.14%,16.32%,1.07%,15.88%,"52,731","37,510",1.41,,,,,,,,,,,,,,,,,,,
6-Dec,"6,089",,,"575,796","83,285",14.46%,"4,322","474,771",82.45%,96.40%,151,"17,740",3.08%,3.60%,,,"70,091","6,032,542","4,058,033","3,482,237",,,"50,634","28,605",,"15,030",10.48,7.05,4.70,14.19%,21.29%,1.07%,15.96%,"53,836","37,165",1.45,,,,,,,,,,,,,,,,,,,
7-Dec,"5,754",,,"581,550","84,481",14.53%,"4,431","479,202",82.40%,96.41%,127,"17,867",3.07%,3.59%,,,"72,986","6,059,415","4,079,605","3,498,055",,,"26,873","21,572",,"15,110",10.42,7.02,3.75,14.26%,26.67%,1.00%,16.94%,"51,953","35,984",1.44,,,,,,,,,,,,,,,,,,,
8-Dec,"5,292",,,"586,842","85,345",14.54%,"4,295","483,497",82.39%,96.41%,133,"18,000",3.07%,3.59%,,,"70,450","6,112,234","4,113,090","3,526,248",,,"52,819","33,485",,"15,234",10.42,7.01,6.33,14.27%,15.80%,0.91%,17.31%,"52,179","35,383",1.47,,,,,,,,,,,,,,,,,,,
9-Dec,"6,058",,,"592,900","87,284",14.72%,"3,948","487,445",82.21%,96.41%,171,"18,171",3.06%,3.59%,,,"69,879","6,168,268","4,143,604","3,550,704",,,"56,034","30,514",,"15,347",10.40,6.99,5.04,14.31%,19.85%,1.03%,18.36%,"51,863","33,762",1.54,,,,,,,,,,,,,,,,,,,
10-Dec,"6,033",,,"598,933","88,622",14.80%,"4,530","491,975",82.14%,96.41%,165,"18,336",3.06%,3.59%,,,"66,463","6,217,871","4,176,266","3,577,333",,,"49,603","32,662",,"15,468",10.38,6.97,5.41,14.34%,18.47%,1.02%,18.37%,"50,036","31,931",1.57,,,,,,,,,,,,,,,,,,,
11-Dec,"6,310",,,"605,243","89,846",14.84%,"4,911","496,886",82.10%,96.41%,175,"18,511",3.06%,3.59%,,,"64,845","6,271,943","4,216,052","3,610,809",,,"54,072","39,786",,"15,615",10.36,6.97,6.31,14.36%,15.86%,1.05%,18.59%,"49,280","31,938",1.54,,,,,,,,,,,,,,,,,,,
12-Dec,"6,388",,,"611,631","91,602",14.98%,"4,490","501,376",81.97%,96.41%,142,"18,653",3.05%,3.59%,,,"62,224","6,331,331","4,253,821","3,642,190",,,"59,388","37,769",,"15,755",10.35,6.95,5.91,14.38%,16.91%,1.06%,18.68%,"49,918","32,056",1.56,,,,,,,,,,,,,,,,,,,
13-Dec,"6,189",,,"617,820","93,165",15.08%,"4,460","505,836",81.87%,96.41%,166,"18,819",3.05%,3.59%,,,"63,598","6,382,379","4,279,168","3,661,348",,,"51,048","25,347",,"15,849",10.33,6.93,4.10,14.44%,24.42%,1.01%,19.00%,"49,977","31,591",1.58,,,,,,,,,,,,,,,,,,,
14-Dec,"5,489",,,"623,309","93,396",14.98%,"5,121","510,957",81.97%,96.42%,137,"18,956",3.04%,3.58%,,,"64,067","6,424,385","4,308,544","3,685,235",,,"42,006","29,376",,"15,958",10.31,6.91,5.35,14.47%,18.69%,0.89%,18.24%,"52,139","32,706",1.59,,,,,,,,,,,,,,,,,,,
