Total Kasus,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?,
23 Jan,2,266,111,103,35,117,"3,492",31,"2,119",566,851,20,324,87,99,7,12,33,44,196,48,83,4,615,113,163,139,21,19,26,101,13,49,3,,
24 Jan,2,222,165,47,30,186,"2,328",52,"1,767",27,948,21,388,53,93,49,64,28,32,122,25,81,10,554,103,46,99,3,82,10,10,29,75,,,
25 Jan,5,306,300,132,30,408,"2,504",62,"1,231","2,371",842,,461,57,139,141,,25,25,71,178,85,51,535,155,170,169,26,24,22,27,21,80,25,,
26 Jan,4,229,343,63,25,311,"2,939",11,"2,248","1,676",833,28,329,70,74,129,30,33,104,123,199,89,48,504,105,39,99,10,31,29,21,9,76,7,,
27 Jan,9,250,836,76,18,383,"2,970",16,"1,800","1,650",929,29,341,50,101,38,25,50,120,148,77,90,25,510,51,110,159,,29,19,19,15,24,7,,
28 Jan,,288,449,71,31,383,"2,731",39,"2,290","1,347",851,20,397,16,49,171,21,22,54,245,32,81,43,559,144,116,117,3,25,14,115,27,38,3,,
29 Jan,8,307,926,78,30,210,"2,428",55,"2,238",378,"1,013",16,453,70,100,99,22,37,76,215,70,90,6,540,176,78,149,76,18,26,16,32,87,15,,
30 Jan,7,298,60,103,15,262,"3,566",42,"2,643",279,931,31,375,171,41,8,58,47,96,228,167,80,73,204,133,78,130,,22,19,12,26,22,14,,
31 Jan,3,270,687,67,25,394,"3,355",36,"2,460",152,882,35,545,70,88,66,33,43,76,245,102,89,66,236,122,131,138,,4,31,16,112,138,2,,
1 Feb,5,266,61,39,25,259,"2,142",,"2,547","1,988",965,,397,80,58,25,10,61,78,148,53,92,22,476,132,206,120,2,2,32,16,31,114,9,,
2 Feb,11,372,192,53,15,271,"4,577",53,"2,310","1,385",888,34,521,70,64,192,172,118,91,191,42,101,45,402,110,130,110,63,40,29,17,28,142,9,,
3 Feb,20,239,294,70,25,305,"1,602",25,"1,890","1,011",899,29,501,97,95,66,,10,120,269,254,104,30,305,162,167,135,,165,37,51,93,59,6,,
4 Feb,4,365,334,119,20,229,"3,963",41,"2,366",786,814,31,707,74,108,45,53,36,65,179,69,112,47,435,204,162,57,21,13,39,23,20,88,12,,
5 Feb,,467,26,81,15,165,"2,475",65,"2,674",516,869,40,553,90,45,137,160,1,95,201,48,109,56,264,53,123,107,7,24,22,19,,164,3,,
6 Feb,8,384,159,109,15,266,"4,434",70,"3,117",116,786,31,479,132,156,23,33,45,45,241,159,107,83,544,24,165,130,,8,20,14,140,147,14,,
7 Feb,2,379,544,105,15,213,"4,305",32,"2,100",86,775,39,421,20,50,32,51,12,139,174,96,140,3,532,118,134,77,22,26,11,10,59,64,20,,
8 Feb,31,458,952,77,15,255,"3,418",10,"3,135","1,054",819,,435,217,37,244,67,110,19,143,204,121,214,436,173,96,74,39,5,33,18,22,90,17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meninggal Dunia,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?,
18-Mar,,1,1,,,,12,,1,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,
19-Mar,,1,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
20-Mar,,1,1,,,,18,,7,3,1,,,,,,,,,,,1,,,,,,,,,,,,,,
21-Mar,,1,2,,,,23,,7,3,1,,,,,,,,,,,1,,,,,,,,,,,,,,
22-Mar,,2,3,,,,29,,9,3,1,,,,,,,,,,,1,,,,,,,,,,,,,,
23-Mar,,2,3,,,,29,,9,3,1,,,,,,,,,,,1,,1,,,,,,,,,,,,
24-Mar,,2,4,,,1,31,,10,3,1,,,,,,1,,,,,1,,1,,,,,,,,,,,,
25-Mar,,2,4,,,2,31,,10,4,1,,,,,,1,,1,,,1,,1,,,,,,,,,,,,
26-Mar,,2,4,,,2,46,,11,6,3,,,,,,1,,1,,,1,,1,,,,,,,,,,,,
27-Mar,,2,4,,,2,51,,14,6,4,,,,,,1,,1,,,1,,1,,,,,,,,,,,,
28-Mar,,2,4,,,2,62,,17,7,4,,,,,,1,,1,,,1,,1,,,,,,,,,,,,
29-Mar,,2,4,,,2,68,,19,7,7,,,,,,1,,2,,,1,,1,,,,,,,,,,,,
30-Mar,,2,4,,,2,74,,20,7,8,,,,,,1,,2,,,1,,1,,,,,,,,,,,,
31-Mar,,2,4,,1,2,83,,21,7,8,2,,,,,1,,2,,,1,,1,,,,,,1,,,,,,
1-Apr,,2,14,1,1,2,85,,21,7,9,2,1,,,,1,,2,,,3,,5,,,,,,1,,,,,,
2-Apr,,2,14,1,1,3,90,,25,7,11,2,1,,,,1,,2,,,3,,5,,1,,,,1,,,,,,
3-Apr,,2,14,1,1,3,90,,25,18,11,2,1,,,,1,,2,,,3,,5,,1,,,,1,,,,,,
